City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather
Hounde,BF,11.5,-3.5167,82.26,41,70,3.36,broken clouds
Santa Ana,US,33.7456,-117.8678,96.93,21,20,12.66,few clouds
Suhbaatar,MN,50.2314,106.2078,34.36,83,100,6.02,overcast clouds
Waingapu,ID,-9.6567,120.2641,80.01,81,100,2.35,overcast clouds
Teruel,ES,40.6667,-0.6667,59.0,74,100,6.8,overcast clouds
Camacha,PT,33.0833,-16.3333,69.22,83,20,13.8,few clouds
Nueva Germania,PY,-23.9,-56.5667,83.08,66,60,3.49,light rain
Kathmandu,NP,27.7167,85.3167,57.42,88,40,2.3,scattered clouds
Waverley,ZA,-25.7023,28.2591,70.54,53,10,8.05,clear sky
Nabire,ID,-3.3667,135.4833,75.43,92,100,2.66,overcast clouds
Zdzieszowice,PL,50.4248,18.1235,48.69,89,12,4.25,few clouds
Sao Gabriel Da Cachoeira,BR,-0.1303,-67.0892,77.86,94,100,2.71,light rain
Zhigansk,RU,66.7697,123.3711,12.63,94,100,6.96,overcast clouds
Sisimiut,GL,66.9395,-53.6735,26.22,83,91,7.74,light snow
Popondetta,PG,-8.7537,148.2534,76.53,91,98,1.77,overcast clouds
Salalah,OM,17.0151,54.0924,77.09,65,0,4.61,clear sky
Kununurra,AU,-15.7667,128.7333,80.58,83,97,0.0,overcast clouds
Songjianghe,CN,42.1859,127.479,33.21,73,0,7.27,clear sky
Tsiroanomandidy,MG,-18.7667,46.0333,70.23,57,5,4.59,clear sky
Kamogawa,JP,35.1,140.1,53.67,71,0,10.2,clear sky
Soe,ID,-9.8607,124.284,68.02,89,85,2.26,overcast clouds
Tukrah,LY,32.5341,20.5791,69.96,63,52,5.84,broken clouds
Weinan,CN,34.5036,109.5089,54.75,50,0,2.44,clear sky
Bairiki,KI,1.3292,172.9752,82.4,83,20,8.05,few clouds
Hailey,US,43.5196,-114.3153,73.8,24,0,11.5,clear sky
Lavrentiya,RU,65.5833,-171.0,35.87,88,100,26.08,overcast clouds
Zhigalovo,RU,54.8097,105.1578,29.01,95,95,2.73,overcast clouds
La Pintada,CO,5.7487,-75.6063,81.63,73,94,1.32,overcast clouds
Ayagoz,KZ,47.9714,80.4392,39.49,56,100,10.18,overcast clouds
Nhulunbuy,AU,-12.2333,136.7667,77.61,88,73,0.0,broken clouds
Tevaitoa,PF,-16.7833,-151.5,77.99,78,27,8.41,light rain
Auki,SB,-8.7676,160.7034,82.53,72,66,1.86,broken clouds
Kyshtovka,RU,56.555,76.6271,41.14,79,100,11.36,overcast clouds
Kalabo,ZM,-14.97,22.6814,74.19,45,81,12.01,broken clouds
Ostrovnoy,RU,68.0531,39.5131,38.28,79,88,35.68,light rain
Margate,GB,51.3813,1.3862,60.31,84,100,8.01,overcast clouds
Gat,IL,31.61,34.7642,71.4,69,80,2.62,broken clouds
Malakal,SS,9.5334,31.6605,74.19,77,39,3.44,scattered clouds
Chattanooga,US,35.0456,-85.3097,61.72,33,0,3.44,clear sky
Jacareacanga,BR,-6.2222,-57.7528,87.96,56,62,3.11,broken clouds
Sherpur,BD,25.0188,90.0175,71.22,72,5,8.57,clear sky
Niono,ML,14.2526,-5.993,87.78,18,31,1.12,scattered clouds
Fare,PF,-16.7,-151.0167,78.01,75,7,4.25,clear sky
Marolambo,MG,-20.05,48.1167,63.03,91,75,1.12,broken clouds
Passira,BR,-7.995,-35.5806,74.34,71,48,13.11,scattered clouds
Alta Floresta,BR,-9.8756,-56.0861,91.22,52,75,1.14,broken clouds
Dale,US,38.1689,-86.99,56.95,24,0,13.8,clear sky
Ngaoundere,CM,7.3167,13.5833,65.03,90,68,2.75,broken clouds
Aksu,CN,41.1231,80.2644,57.34,21,99,5.23,overcast clouds
Ugoofaaru,MV,5.6667,73.0,80.46,80,91,15.52,overcast clouds
Wao,PH,7.6833,124.6833,65.71,93,100,1.16,overcast clouds
Katherine,AU,-14.4667,132.2667,75.52,88,50,5.75,scattered clouds
Havelock,US,34.8791,-76.9013,60.94,43,0,10.36,clear sky
Peniche,PT,39.3558,-9.3811,61.11,88,0,18.28,clear sky
Zeya,RU,53.75,127.2667,30.42,76,9,3.83,clear sky
Kaseda,JP,31.4167,130.3167,60.6,70,0,9.42,clear sky
Villa Canales,GT,14.4814,-90.5317,81.88,61,20,11.5,moderate rain
Portland,US,45.5234,-122.6762,76.98,56,0,6.91,smoke
Buraydah,SA,26.326,43.975,75.65,13,0,3.78,clear sky
Tyler,US,32.3513,-95.3011,65.55,22,0,5.75,clear sky
Yeppoon,AU,-23.1333,150.7333,69.58,89,98,11.34,light rain
Nhamunda,BR,-2.1861,-56.7131,87.44,58,100,2.84,moderate rain
Tigil,RU,57.8,158.6667,23.18,93,98,9.82,overcast clouds
Kota Kinabalu,MY,5.9749,116.0724,76.98,94,40,5.01,light rain
Vizinga,RU,61.0749,50.1031,34.92,88,96,7.38,overcast clouds
Chapar,IN,26.2667,90.4667,69.26,91,0,3.51,clear sky
Akhmim,EG,26.5622,31.745,77.2,40,16,8.52,few clouds
Laela,TZ,-8.5667,32.05,67.8,36,25,2.3,scattered clouds
Hihya,EG,30.6713,31.588,70.66,74,9,5.21,clear sky
Ishikawa,JP,26.4233,127.8214,73.72,64,100,13.8,overcast clouds
Scarborough,GB,54.2797,-0.4044,54.66,83,86,8.01,overcast clouds
San Benedetto Del Tronto,IT,42.9456,13.8816,67.05,71,0,5.48,clear sky
Bambanglipuro,ID,-7.95,110.2833,76.01,91,100,3.24,overcast clouds
Villa Carlos Paz,AR,-31.4241,-64.4978,60.08,85,100,1.99,light rain
Bumba,CD,2.1833,22.4667,71.37,93,100,1.52,overcast clouds
Biak,ID,-0.9131,122.8766,75.94,86,90,0.6,overcast clouds
Nha Trang,VN,12.25,109.1833,78.8,90,100,3.06,overcast clouds
Standish,US,43.9831,-83.9589,43.02,71,100,15.84,overcast clouds
Hami,CN,42.8,93.45,48.96,52,0,2.04,clear sky
Kruisfontein,ZA,-34.0033,24.7314,74.88,54,98,10.45,overcast clouds
Mathathane,BW,-22.2687,28.7495,76.64,37,40,15.64,scattered clouds
Cayenne,GF,4.9333,-52.3333,86.04,70,0,10.36,clear sky
General Higinio Morinigo,PY,-25.95,-55.9167,67.03,99,98,3.71,moderate rain
Berezovyy,RU,51.6667,135.7,36.68,61,100,5.84,overcast clouds
Tuatapere,NZ,-46.1333,167.6833,46.9,77,62,7.63,broken clouds
Collie,AU,-33.3667,116.15,52.25,96,56,2.37,broken clouds
Guatire,VE,10.4762,-66.5427,77.67,87,79,3.76,broken clouds
Filadelfia,US,39.9523,-75.1638,55.02,48,98,5.01,overcast clouds
Olkhovka,RU,53.2115,60.6069,40.62,82,100,8.08,overcast clouds
Tiarei,PF,-17.5333,-149.3333,82.42,78,4,10.25,light rain
Oussouye,SN,12.485,-16.5469,84.38,79,56,4.63,broken clouds
Burgos,ES,42.3394,-3.7079,52.21,93,75,20.71,heavy intensity shower rain
Pandan Niog,PH,6.2282,120.5631,82.4,75,100,6.15,moderate rain
Huasahuasi,PE,-11.3167,-75.6167,48.34,76,84,7.87,broken clouds
Bonoua,CI,5.2741,-3.595,80.22,89,46,4.79,scattered clouds
Xichang,CN,27.8964,102.2634,52.88,90,9,1.66,clear sky
Port Blair,IN,11.6667,92.75,80.04,79,92,9.08,overcast clouds
Kirakira,SB,-10.4544,161.9205,82.8,79,35,6.24,scattered clouds
Puerto Escondido,MX,15.85,-97.0667,76.42,91,100,8.88,light rain
Suixi,CN,33.8907,116.7747,50.49,64,81,7.65,broken clouds
Lufilufi,WS,-13.8745,-171.5986,87.58,79,21,9.8,light rain
Inta,RU,66.0317,60.1659,33.69,98,100,12.37,light snow
Emerald,AU,-23.5333,148.1667,66.34,97,66,13.94,broken clouds
Gorin,RU,51.1983,136.6669,34.68,75,100,3.98,overcast clouds
Sauk Rapids,US,45.5919,-94.1661,51.91,23,75,7.0,broken clouds
Dakar,SN,14.6937,-17.4441,82.53,89,0,4.61,clear sky
Xai-Xai,MZ,-25.0519,33.6442,70.84,86,3,5.93,clear sky
Prince Rupert,CA,54.3161,-130.3201,55.49,85,100,13.8,overcast clouds
Blythe,US,33.6103,-114.5964,88.25,22,0,9.22,clear sky
Marsh Harbour,BS,26.5412,-77.0636,77.72,79,100,17.27,overcast clouds
Steamboat Springs,US,40.485,-106.8317,69.94,20,0,4.61,clear sky
Kenora,CA,49.8167,-94.4337,47.37,31,75,5.75,broken clouds
Namibe,AO,-15.1961,12.1522,64.08,87,17,8.1,few clouds
Thoen,TH,17.6129,99.2161,67.06,93,3,2.46,clear sky
Dire Dawa,ET,9.5931,41.8661,70.48,39,0,7.14,clear sky
Mareeba,AU,-17.0,145.4333,73.44,94,70,0.78,broken clouds
Burnie,AU,-41.0667,145.9167,54.95,56,9,4.68,clear sky
Roma,US,43.2128,-75.4557,47.95,64,100,11.5,overcast clouds
Alamogordo,US,32.8995,-105.9603,73.56,48,0,6.91,clear sky
Karaton,ID,-6.3424,106.1045,73.98,96,100,3.47,overcast clouds
Sept-Iles,CA,50.2001,-66.3821,50.52,98,100,28.77,moderate rain
Mehran,IR,33.1222,46.1646,80.01,13,16,3.76,few clouds
Sete,FR,43.4018,3.6966,69.84,92,95,6.64,overcast clouds
Champerico,GT,14.3,-91.9167,91.94,77,71,19.6,broken clouds
Adrar,MR,20.5022,-10.0711,89.01,12,58,9.37,broken clouds
Kaili,ID,-3.4626,120.2147,66.51,93,100,3.22,overcast clouds
Honiara,SB,-9.4333,159.95,83.19,74,45,1.52,scattered clouds
Troitsko-Pechorsk,RU,62.7084,56.1964,33.44,89,98,7.45,overcast clouds
Mindelo,CV,16.8901,-24.9804,80.15,74,40,21.85,scattered clouds
Wattegama,LK,6.7989,81.4808,74.79,89,100,1.3,heavy intensity rain
Mago,RU,53.2514,140.1822,30.06,69,68,3.53,broken clouds
Corrales,US,35.2378,-106.6067,72.05,40,0,4.61,clear sky
Bac Lieu,VN,9.285,105.7244,77.94,87,96,4.16,overcast clouds
Glomfjord,NO,66.8167,13.9667,42.06,97,100,5.21,overcast clouds
Abay,KZ,49.6311,72.8539,41.38,70,100,26.24,overcast clouds
Ziro,IN,27.6333,93.8333,44.47,84,3,2.91,clear sky
Thika,KE,-1.0333,37.0693,65.77,76,96,5.64,overcast clouds
Leshukonskoye,RU,64.8989,45.7622,35.11,92,100,10.29,overcast clouds
Balikpapan,ID,-1.2675,116.8289,76.19,100,20,3.44,few clouds
Virginia Beach,US,36.8529,-75.978,59.05,44,20,12.66,few clouds
Kansk,RU,56.2017,95.7175,36.12,76,100,7.23,overcast clouds
Basco,PH,20.4487,121.9702,79.14,81,100,32.93,overcast clouds
Komsomolskiy,UZ,40.4272,71.7189,43.52,75,19,2.3,few clouds
Kavaratti,IN,10.5669,72.642,80.87,78,40,14.12,scattered clouds
Mandurah,AU,-32.55,115.7,60.98,81,99,9.06,overcast clouds
Cape Coast,GH,5.1053,-1.2466,78.4,85,16,10.45,few clouds
Jinxiang,CN,27.4327,120.6062,61.38,69,97,9.91,overcast clouds
Tilichiki,RU,60.4667,166.1,25.61,79,97,10.76,overcast clouds
Whitehorse,CA,60.7161,-135.0538,47.17,81,75,21.85,broken clouds
Jati,PK,24.3539,68.2671,77.05,68,35,8.05,scattered clouds
Broken Hill,AU,-31.95,141.4333,60.57,96,100,11.21,overcast clouds
Sibolga,ID,1.7427,98.7792,75.42,83,100,2.73,light rain
Kharp,RU,66.8014,65.8081,32.09,98,97,5.35,overcast clouds
Agbor,NG,6.2518,6.1934,73.49,98,92,4.56,light rain
Ilinskiy,RU,55.619,38.1182,44.53,93,75,7.0,broken clouds
Westerland,DE,54.9079,8.3033,46.42,81,71,9.22,broken clouds
Vestmanna,FO,62.1564,-7.1664,40.12,81,100,4.61,overcast clouds
Kamiichi,JP,36.7,137.3667,47.23,78,0,4.59,clear sky
Teya,RU,60.3778,92.6267,33.22,94,100,3.78,overcast clouds
Aklavik,CA,68.2191,-135.0107,26.6,93,100,8.05,overcast clouds
Manama,BH,26.2154,50.5832,84.38,58,0,3.44,clear sky
Calinesti,RO,44.8167,25.05,54.48,56,8,6.62,clear sky
Santo Domingo,DO,18.5001,-69.9886,89.28,67,40,6.91,scattered clouds
Independence,US,39.0911,-94.4155,58.1,19,0,3.44,clear sky
Aguimes,ES,27.9054,-15.4461,70.66,78,20,12.66,few clouds
Broome,US,42.2506,-75.833,45.63,82,100,6.91,overcast clouds
Ziarat,PK,30.3823,67.7282,51.03,28,0,7.54,clear sky
Beloha,MG,-25.1667,45.05,68.83,83,3,13.53,clear sky
Chimoio,MZ,-19.1164,33.4833,71.46,83,20,3.2,few clouds
Novyy Urengoy,RU,66.0833,76.6333,35.47,91,100,14.27,overcast clouds
Shimoda,JP,34.6667,138.95,53.1,67,0,11.81,clear sky
Sao Felix Do Xingu,BR,-6.6447,-51.995,85.53,51,79,1.92,broken clouds
Houma,US,29.5958,-90.7195,63.01,38,0,5.95,clear sky
Cockburn Town,TC,21.4612,-71.1419,83.12,74,12,8.37,few clouds
Poco Verde,BR,-10.7083,-38.1833,75.69,63,75,13.76,broken clouds
Bergen,NO,60.392,5.328,38.88,94,20,3.44,few clouds
Rupert,US,42.6191,-113.6772,72.18,24,0,0.0,clear sky
Ulaangom,MN,49.9811,92.0667,31.98,65,53,2.64,broken clouds
Astana,KZ,51.1801,71.446,42.75,87,100,22.37,overcast clouds
Otane,NZ,-39.8833,176.6333,59.02,58,6,11.79,clear sky
Tabas,IR,33.5959,56.9244,70.02,30,0,2.3,clear sky
Shima,CN,24.4478,117.8111,68.02,70,99,4.59,overcast clouds
Callaguip,PH,18.0714,120.4867,75.9,93,100,10.0,light rain
Ileza,RU,61.0533,43.9002,35.2,84,92,5.1,overcast clouds
Koutiala,ML,12.3917,-5.4642,84.61,27,1,3.02,clear sky
Mitsamiouli,KM,-11.3847,43.2844,74.93,79,10,6.53,clear sky
Verkhniy Avzyan,RU,53.5289,57.5372,35.19,100,100,3.24,light snow
Te Anau,NZ,-45.4167,167.7167,43.54,89,48,8.34,scattered clouds
Nyagan,RU,62.1406,65.3936,36.61,87,90,7.09,overcast clouds
Trinidad,BO,-14.8333,-64.9,91.38,58,20,4.61,few clouds
Taos,US,36.4072,-105.5731,71.55,26,0,4.61,clear sky
Shakiso,ET,5.75,38.9167,59.27,98,98,1.32,light rain
Gambela,ET,8.25,34.5833,73.04,79,88,4.05,overcast clouds
Russkaya Polyana,UA,49.417,31.9201,49.51,80,100,12.12,light rain
Utete,TZ,-7.986,38.758,69.67,89,25,4.34,scattered clouds
Nushki,PK,29.5542,66.0215,66.31,21,1,7.0,clear sky
Peterborough,GB,52.5736,-0.2478,55.98,93,75,13.8,broken clouds
Masuda,JP,34.6667,131.85,53.6,76,0,5.03,clear sky
La Ronge,CA,55.1001,-105.2842,62.85,34,75,8.05,smoke
Folldal,NO,62.1325,9.9968,31.62,76,9,2.64,clear sky
Russell,US,32.3502,-85.1999,63.68,25,0,10.36,clear sky
Lata,PT,40.1629,-8.3327,64.81,95,9,4.97,clear sky
Vanimo,PG,-2.6741,141.3028,76.68,91,100,5.5,overcast clouds
Assiniboia,CA,49.6334,-105.9845,69.62,21,53,11.5,broken clouds
Saint-Pierre,RE,-21.3393,55.4781,68.92,68,0,5.75,clear sky
Bulungu,CD,-4.55,18.6,70.97,84,44,1.03,light rain
Sterling,US,39.0062,-77.4286,56.16,46,75,11.99,broken clouds
Tabuk,PH,17.4189,121.4443,72.88,97,100,2.8,moderate rain
Ternate,ID,0.8,127.4,81.01,81,86,3.49,overcast clouds
Preobrazheniye,RU,42.9019,133.9064,45.86,85,0,10.16,clear sky
Varhaug,NO,58.6147,5.6457,41.9,78,67,5.73,broken clouds
Manggar,ID,-2.8833,108.2667,78.89,84,100,3.62,light rain
Kurilsk,RU,45.2333,147.8833,48.11,66,66,16.67,broken clouds
Den Helder,NL,52.9599,4.7593,50.99,86,100,15.01,overcast clouds
Seabra,BR,-12.4186,-41.7703,76.77,34,15,7.07,few clouds
Imbituba,BR,-28.24,-48.6703,67.55,87,29,2.59,scattered clouds
San Juan,AR,-31.5375,-68.5364,70.83,38,78,9.78,broken clouds
Poya,NC,-21.35,165.15,76.69,65,9,3.76,clear sky
Opuwo,NA,-18.0607,13.84,71.91,28,9,6.4,clear sky
Iracoubo,GF,5.4802,-53.2011,80.83,80,73,10.54,broken clouds
Tual,ID,-5.6667,132.75,84.16,71,99,4.59,overcast clouds
Sangar,RU,63.9242,127.4739,14.23,97,98,0.65,overcast clouds
Tagawa,JP,33.6333,130.8,56.68,75,0,3.29,clear sky
Botwood,CA,49.1499,-55.3482,59.9,84,96,3.87,overcast clouds
Road Town,VG,18.4167,-64.6167,87.89,79,40,6.91,scattered clouds
Prado,BR,-17.3411,-39.2208,75.16,76,35,9.8,scattered clouds
Abu Samrah,SY,35.3029,37.1841,68.02,57,92,5.82,overcast clouds
Saint Anthony,US,45.0205,-93.218,49.01,29,100,11.5,overcast clouds
Oriximina,BR,-1.7656,-55.8661,84.6,67,98,4.0,overcast clouds
Hovd,MN,48.0056,91.6419,31.05,60,20,3.65,few clouds
Lodwar,KE,3.1191,35.5973,85.64,39,53,18.86,broken clouds
Axim,GH,4.8699,-2.2405,77.79,85,40,6.73,scattered clouds
Bontang,ID,0.1333,117.5,77.27,90,98,2.44,overcast clouds
Oranjemund,NA,-28.55,16.4333,59.52,94,13,8.41,few clouds
Quang Ngai,VN,15.1167,108.8,72.66,83,100,2.62,overcast clouds
Socorro,US,31.6546,-106.3033,70.07,41,20,0.0,few clouds
Tabory,RU,58.5198,64.5495,35.74,88,99,4.83,overcast clouds
Saldanha,ZA,-33.0117,17.9442,64.45,91,78,10.94,broken clouds
Mozarlandia,BR,-14.7447,-50.5706,96.3,21,39,3.4,scattered clouds
